DATE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
2011-10-01,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,58993,1678,1898.2707,0.884,0.9306,1.073,0.8807,1.1354,2
2011-10-01,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,57242,1623,1716.435,0.9456,0.9271,1.0769,0.88,1.1364,2
2011-10-01,RM4,TRAFFORD HEALTHCARE NHS TRUST,10188,555,522.1906,1.0628,0.8702,1.1427,0.8637,1.1578,2
2011-10-01,RMC,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,54303,1751,1667.3995,1.0501,0.926,1.078,0.8798,1.1367,2
2011-10-01,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,34862,1463,1255.2549,1.1655,0.915,1.0903,0.8772,1.14,1
2011-10-01,RN1,WINCHESTER AND EASTLEIGH HEALTHCARE NHS TRUST,26531,927,949.8822,0.9759,0.9027,1.1044,0.874,1.1442,2
2011-10-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,47001,1495,1494.8563,1.0001,0.922,1.0825,0.8789,1.1378,2
2011-10-01,RN5,BASINGSTOKE AND NORTH HAMPSHIRE NHS FOUNDATION TRUST,33709,961,844.8504,1.1375,0.897,1.1109,0.8723,1.1463,2
2011-10-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,37424,1414,1291.9393,1.0945,0.9162,1.089,0.8775,1.1396,2
2011-10-01,RNA,THE DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,69865,2136,1959.9193,1.0898,0.9316,1.0718,0.881,1.1351,2
2011-10-01,RNH,NEWHAM UNIVERSITY HOSPITAL NHS TRUST,46513,647,810.2861,0.7985,0.8949,1.1134,0.8717,1.1472,3
2011-10-01,RNJ,BARTS AND THE LONDON NHS TRUST,68838,1316,1905.7184,0.6906,0.9307,1.0728,0.8808,1.1354,3
2011-10-01,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,44571,1729,1538.0914,1.1241,0.9231,1.0813,0.8791,1.1375,2
2011-10-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,44593,1516,1406.1571,1.0781,0.9196,1.0852,0.8783,1.1386,2
2011-10-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,53694,1547,1356.5568,1.1404,0.9182,1.0868,0.878,1.139,1
2011-10-01,RNZ,SALISBURY NHS FOUNDATION TRUST,35817,1076,1123.4916,0.9577,0.9103,1.0957,0.876,1.1415,2
2011-10-01,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73250,2721,2666.8224,1.0203,0.9412,1.0613,0.8828,1.1328,2
2011-10-01,RPA,MEDWAY NHS FOUNDATION TRUST,51573,1745,1507.1433,1.1578,0.9223,1.0822,0.8789,1.1378,1
2011-10-01,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,48914,1914,1908.1341,1.0031,0.9307,1.0728,0.8808,1.1354,2
2011-10-01,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,58051,1643,1533.4522,1.0714,0.9229,1.0815,0.8791,1.1376,2
2011-10-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,49623,584,745.0998,0.7838,0.8906,1.1185,0.8704,1.1489,3
2011-10-01,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,21540,667,739.8934,0.9015,0.8902,1.1189,0.8703,1.149,2
2011-10-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,36260,1386,1395.8258,0.993,0.9193,1.0855,0.8782,1.1386,2
2011-10-01,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,37713,613,642.6886,0.9538,0.8825,1.128,0.8679,1.1523,2
2011-10-01,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,148887,4309,4159.254,1.036,0.9528,1.0488,0.8846,1.1304,2
2011-10-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34294,1449,1456.4004,0.9949,0.921,1.0836,0.8786,1.1381,2
2011-10-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,156845,4125,4395.7022,0.9384,0.954,1.0475,0.8848,1.1302,2
2011-10-01,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",48129,1713,1613.9281,1.0614,0.9248,1.0793,0.8795,1.137,2
2011-10-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,57235,2249,2231.3729,1.0079,0.9359,1.0672,0.8818,1.1341,2
2011-10-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,62124,1023,1425.0859,0.7179,0.9201,1.0846,0.8784,1.1384,3
2011-10-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,105728,2657,2817.9558,0.9429,0.9428,1.0596,0.883,1.1324,2
2011-10-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82641,2756,2822.3188,0.9765,0.9428,1.0595,0.8831,1.1324,2
2011-10-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,74073,3028,3041.2119,0.9957,0.9449,1.0573,0.8834,1.132,2
2011-10-01,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,83852,2676,2520.7063,1.0616,0.9396,1.0631,0.8825,1.1332,2
2011-10-01,RTH,OXFORD RADCLIFFE HOSPITALS NHS TRUST,100388,3069,3015.3847,1.0178,0.9447,1.0576,0.8834,1.132,2
2011-10-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,49756,1616,1784.748,0.9054,0.9284,1.0753,0.8803,1.136,2
2011-10-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,49543,1600,1663.0673,0.9621,0.9259,1.0781,0.8797,1.1367,2
2011-10-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,94067,2648,2703.1669,0.9796,0.9416,1.0609,0.8828,1.1327,2
2011-10-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,53286,2050,1803.1818,1.1369,0.9288,1.0749,0.8804,1.1359,1
2011-10-01,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,66915,1738,2081.1709,0.8351,0.9336,1.0696,0.8813,1.1346,3
2011-10-01,RVJ,NORTH BRISTOL NHS TRUST,72635,2159,2206.945,0.9783,0.9355,1.0675,0.8817,1.1342,2
2011-10-01,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,74430,2306,2596.9394,0.888,0.9405,1.0621,0.8826,1.133,2
2011-10-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57302,1916,2106.1871,0.9097,0.934,1.0692,0.8814,1.1345,2
2011-10-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,98804,3901,4086.7584,0.9545,0.9524,1.0493,0.8846,1.1305,2
2011-10-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,57550,1829,1782.8065,1.0259,0.9284,1.0754,0.8803,1.136,2
2011-10-01,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,35795,1369,1250.2188,1.095,0.9149,1.0905,0.8772,1.14,2
2011-10-01,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,83859,1338,1296.8998,1.0317,0.9164,1.0888,0.8775,1.1396,2
2011-10-01,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,139774,4417,4149.4409,1.0645,0.9527,1.0489,0.8846,1.1304,2
